Dataset: Aleatorios, 
Size: a100.txt, 
Tempo(ms), Swaps, 
9.2898, 414443, 
9.2771, 415757, 
9.5126, 413507, 
9.5586, 417233, 
9.7061, 408430, 
9.7747, 437779, 
9.3419, 421381, 
9.3317, 404892, 
9.3164, 424901, 


Size: po500000.txt, 
Tempo(ms), Swaps, 
152.541, 3496131, 
152.734, 3436417, 
156.17, 3507809, 
150.561, 3545443, 
154.552, 3475081, 
152.134, 3502990, 
160.097, 3484765, 
156.197, 3476136, 
155.166, 3470230, 
153.148, 3480669, 


Size: po7500.txt, 
Tempo(ms), Swaps, 
1.1275, 55593, 
1.1485, 58134, 
1.1392, 56828, 
1.1033, 52825, 
1.146, 59515, 
1.3876, 57789, 
1.166, 61717, 
1.1444, 58155, 
1.1755, 62626, 
1.1898, 65153, 


Size: po75000.txt, 
Tempo(ms), Swaps, 
14.4377, 580422, 
14.6518, 611303, 
14.4603, 606059, 
14.6386, 604478, 
14.764, 617853, 
14.7934, 636351, 
14.7617, 633803, 
14.8179, 644806, 
14.6348, 624875, 
14.8695, 636582, 


Size: po750000.txt, 
Tempo(ms), Swaps, 
279.392, 4893110, 
283.383, 4979244, 
280.841, 4932568, 
286.597, 4930425, 
280.965, 4887284, 
280.175, 4958522, 
275.118, 5017682, 
277.934, 4972743, 
281.62, 5007059, 
278.282, 5062101, 


